area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2,2,72
Plot  Area,Ready To Move,Benson Town,4 Bedroom,ImncyTa,5000,5,3,950
Plot  Area,Ready To Move,Vivek Nagar,2 Bedroom,,1600,2,1,160
Plot  Area,Ready To Move,Malleshwaram,2 Bedroom,,600,1,0,90
Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Sanorpa,1350,3,2,60
Super built-up  Area,21-Oct,Kanakpura Road,3 BHK,PrarePa,1300,3,1,69
Super built-up  Area,18-Dec,Channasandra,2 BHK,MVisear,830,2,1,36.28
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Maity W,1155,2,1,69.18
Super built-up  Area,Ready To Move,Sarakki Nagar,4 BHK,Sowerew,3126,5,3,345
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Kuownri,905,2,2,55
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,GontsAp,1375,2,0,75
Plot  Area,Immediate Possession,Rajankunte,,,1575,,,31.11
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1140,2,2,33.84
Super built-up  Area,Ready To Move,Hormavu,3 BHK,,1550,2,2,60
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2,1,55
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,890,2,2,45
Super built-up  Area,Ready To Move,KR Puram,4 BHK,Thessmm,3000,4,2,235
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,55
Plot  Area,Ready To Move,Bendiganahalli,5 Bedroom,Brersld,2400,5,1,150
Plot  Area,Ready To Move,Domlur Layout,4 Bedroom,,2400,4,2,595
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,ArariGo,925,2,1,37
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Vicony ,1415,2,2,60
Plot  Area,Ready To Move,Mylasandra,1 Bedroom,,500,2,0,80
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1225,2,1,37
Built-up  Area,Ready To Move,Hennur Road,4 Bedroom,,2000,4,0,90
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,840,1,1,57
Plot  Area,Ready To Move,Banashankari Stage III,9 Bedroom,,1560,9,,200
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Bhe 2ko,1732,3,1,112
Plot  Area,Ready To Move,Parappana Agrahara,1 Bedroom,,1200,1,0,45
Super built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Srhemay,1260,2,1,69.9
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1092,2,1,49
Super built-up  Area,Ready To Move,Kachanayakanahalli,2 BHK,ICoolon,827,2,0,34
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1357,2,2,54
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,,650,1,1,40
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,SrncyRe,1370,2,1,54.79
Super built-up  Area,Ready To Move,Whitefield,3 BHK,AjhalNa,1725,3,2,106
Built-up  Area,Ready To Move,Jalahalli,2 BHK,,1000,2,0,70
Plot  Area,Ready To Move,TC Palaya,1 Bedroom,,1350,1,0,55
Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,,3200,4,2,350
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1717,3,2,110
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,34
Super built-up  Area,Ready To Move,Shanthi Pura,2 BHK,ShtonDw,800,2,1,32
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367,4,3,340
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1415,2,1,65
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,1976,3,1,145
Super built-up  Area,Ready To Move,Kambipura,2 BHK,,883,2,1,37.01
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,BCivell,700,1,1,38
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Coa 3t ,1445,3,1,50
Super built-up  Area,19-Dec,Battarahalli,3 BHK,PaontWa,2082,3,2,104
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2,2,46
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,933,2,1,66
Plot  Area,Ready To Move,NRI Layout,4 Bedroom,,800,5,1,95.5
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,,1155,2,1,57
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1130,2,1,36
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,1200,2,2,73.2
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,2 BHK,,1055,2,1,43
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,SradeSr,1555,3,2,125
Super built-up  Area,Ready To Move,Bellandur,3 BHK,CVnetnc,1420,3,2,62
Super built-up  Area,20-Apr,Viviani Road,3 BHK,,2214,3,2,350
Super built-up  Area,18-Apr,Devanahalli,1 BHK,Sabixtt,658,1,1,26.91
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,Rosha I,896.9,2,1,78.74
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,4000,3,2,750
Built-up  Area,Ready To Move,KR Puram,2 BHK,SViseun,1035,2,2,40
Plot  Area,Ready To Move,Whitefield,4 Bedroom,MIntare,2064,5,2,225
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1839,3,3,160
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,488,1,1,20
Built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,,1200,2,1,198
Built-up  Area,Ready To Move,Sampangirama Nagar,5 Bedroom,,2760,5,,140
Super built-up  Area,Ready To Move,Gunjur Palya,2 BHK,Evvan V,993,2,2,42
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Siiewag,1225,2,1,45
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2,0,55
Plot  Area,18-Feb,Electronic City,9 Bedroom,,1200,13,,150
Built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2,1,32
Super built-up  Area,Ready To Move,Bellandur,4 BHK,,3596,4,2,359
Plot  Area,Ready To Move,Hosahalli Extension,6 Bedroom,,1350,4,1,203
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SJmesst,1800,3,3,92
Super built-up  Area,Ready To Move,Shankarapuram,2 BHK,,925,2,1,100
Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,GolusLi,1167,2,1,63
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1150,2,1,41
Super built-up  Area,18-Aug,Byatarayanapura,1 BHK,Hisic G,650,1,1,50
Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Shthi S,675,1,1,27
Plot  Area,Ready To Move,Doctor Layout Rayasandra,2 Bedroom,,2260,3,1,90
Super built-up  Area,18-Apr,Anwar Layout,1 BHK,UKicte ,660 - 780,1,0,32.39
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Toindls,4800,4,2,600
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,,1100,2,1,58
Super built-up  Area,Ready To Move,Pillanna Gardens,2 BHK,,550,1,1,20
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2,1,58
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2,1,160
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,,1685,4,2,185
Super built-up  Area,Ready To Move,Ullal Uppanagar,6 BHK,,2400,5,2,75
Super built-up  Area,18-Apr,Banashankari,3 BHK,Bregae ,1770,3,3,108
Super built-up  Area,Ready To Move,Prithvi Layout,3 BHK,Prigh L,2100,3,3,125
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1000,2,3,42
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,600,5,1,105
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,2916,5,1,230
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1419.59,2,1,65
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,KAMESRI,1400,3,,81
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,750,2,1,37.49
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,1070,2,1,87
Super built-up  Area,18-Dec,Kannamangala,3 BHK,Sonue A,1536,3,1,107
Built-up  Area,Ready To Move,Koramangala,3 BHK,K ncy R,1710,3,2,210
Carpet  Area,Ready To Move,JP Nagar,3 BHK,Saacy A,2400,3,3,196
Super built-up  Area,18-Mar,Sarjapur  Road,3 BHK,PualeSk,1618 - 1929,,,102.92
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1342,2,1,72
Super built-up  Area,Ready To Move,Chandra Layout,3 BHK,,1600,3,2,130
Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,938,1,1,50
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3,2,99
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4,3,170
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1665,3,2,78
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,,1850,3,2,150
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,Alarke ,1091,2,1,40
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,74.03
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1720,3,2,224
Built-up  Area,Ready To Move,Brookefield,4 Bedroom,Goodsrb,3675,4,3,176
Super built-up  Area,18-Jun,JP Nagar,2 BHK,,1060,2,2,33.95
Built-up  Area,18-Dec,Whitefield,2 BHK,,1059,2,1,57
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1299,2,1,97
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1491,3,2,85
Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2,2,85
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,,2088,5,0,110
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,,581,1,1,29
Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,,1296,2,2,70
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1125,2,1,55
Built-up  Area,Ready To Move,Electronic City,3 BHK,Emodsel,1275,3,1,70
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1095,2,2,55
Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,AdlasRe,10000,4,2,975
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1330,2,2,74
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1135,2,2,60
Super built-up  Area,Ready To Move,Whitefield,1 BHK,,516,1,1,39
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1194,2,1,51
Plot  Area,Ready To Move,Banaswadi,5 Bedroom,,2250,5,,240
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1,1,38
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Maana E,3930,5,2,330
Super built-up  Area,18-May,Chikkalasandra,3 BHK,,1355,3,2,54.2
Built-up  Area,Ready To Move,Abbigere,8 Bedroom,,3000,8,0,150
Built-up  Area,Ready To Move,Harlur,4 BHK,Prncyrn,2569,4,1,175
Built-up  Area,Ready To Move,Hebbal,4 Bedroom,,3758,4,2,450
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2,3,51.91
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1707,3,2,115
Plot  Area,18-Apr,AECS LAYOUT A-BLOCK Singasandra,5 Bedroom,,1200,5,1,225
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,,1070,2,2,49
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,6000,4,,410
Super built-up  Area,18-Apr,Tumkur Road,3 BHK,Sahtsva,1240,2,1,83
Super built-up  Area,19-Dec,JP Nagar,2 BHK,Shestut,1300,2,1,91.65
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJodsed,1700,2,2,76
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1383,2,2,76.18
Built-up  Area,Ready To Move,Banashankari Stage I,5 Bedroom,,3000,4,3,170
Built-up  Area,18-Dec,Electronic City,2 BHK,,1200,2,1,34.65
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,,935,2,3,45
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,151
Built-up  Area,Ready To Move,Ramanjaneyanagar,4 Bedroom,,2200,3,1,225
Super built-up  Area,Ready To Move,Jalahalli,1 BHK,Vaniai ,615,1,1,46
Super built-up  Area,Ready To Move,KR Puram,2 BHK,CiaksRi,1116,2,1,45
Super built-up  Area,18-Dec,Whitefield,3 BHK,Asarqz ,1639,3,2,107
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1839,3,2,130
Super built-up  Area,Ready To Move,Byatarayanapura,2 BHK,,1300,2,2,63
Super built-up  Area,Ready To Move,Horamavu Agara,1 BHK,,625,1,1,27
Super built-up  Area,18-May,Thanisandra,1 BHK,Bhmesy ,933,1,1,61
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,2289,3,3,180
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,2316,3,0,125
Super built-up  Area,18-May,Electronic City,2 BHK,,1005,2,1,39.77
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,SLoraFl,1080,2,1,38
Plot  Area,Ready To Move,Munnekollal,7 Bedroom,,1200,5,3,185
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Prodsth,910,2,3,36
Plot  Area,Ready To Move,Hormavu,2 Bedroom,Grensak,1200,2,0,73
Super built-up  Area,Ready To Move,Electronic City,2 BHK,YCnce R,1110,2,1,39.9
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1142,2,2,56
Carpet  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,4000,4,3,240
Plot  Area,18-Mar,Hormavu,3 Bedroom,Prageta,1800,3,1,204
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,CMard B,1005,2,1,55
Built-up  Area,18-Apr,3rd Block Banashankari,3 BHK,,1626.6,3,1,133
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1074,2,2,54
Carpet  Area,Ready To Move,Basavangudi,2 BHK,,1230,2,0,80
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23
Built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,,1007,2,2,48
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,,1050,6,1,74
Built-up  Area,20-Dec,Whitefield,3 BHK,,1820,3,2,113
Super built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2,1,60
Plot  Area,Ready To Move,Anjappa Layout,2 Bedroom,,1348,2,0,100
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1230,2,2,66.25
Super built-up  Area,18-May,Horamavu Agara,3 BHK,,1176,2,1,37.62
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590,3,2,57
Built-up  Area,Ready To Move,Frazer Town,2 BHK,,1200,2,1,78
Built-up  Area,18-Jun,"Off Sarjapur Road, ",2 BHK,,1298,2,1,65
Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1161,2,1,55.15
Plot  Area,Ready To Move,Himagiri Meadows,4 Bedroom,,1350,4,0,175
Plot  Area,Ready To Move,4th Block HBR Layout,5 Bedroom,,1200,5,2,138
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1285,2,1,60
Super built-up  Area,17-Jun,Electronic City,3 BHK,Prarkun,1644,3,2,92.59
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1819,3,1,150
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1205,2,1,85
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,,2350,3,3,300
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1050,2,1,42
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Ely 3Em,1270,2,2,62
Super built-up  Area,18-Jun,9th Phase JP Nagar,3 BHK,,1240,2,2,39.89
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3,3,70
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,RKntsrt,840,2,2,35
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,63
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4303,5,,300
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,DSimaUl,1315,2,1,85
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1250,2,2,68
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850,2,1,27
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1600,2,2,110
Built-up  Area,Ready To Move,Electronic City,2 BHK,Prhtsua,1250,2,1,62
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1312,2,1,56.5
Super built-up  Area,Ready To Move,Kadugodi,4 BHK,VSaya A,3000,4,0,134
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Prngshi,1300,2,2,28
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1990,3,3,98
Super built-up  Area,Ready To Move,Medahalli,2 BHK,,760,2,2,38.5
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,5000,4,2,536
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,InadeAr,1614,2,2,59
Plot  Area,Ready To Move,Judicial Layout,4 Bedroom,,1500,3,2,162
Super built-up  Area,Ready To Move,Basava Nagar,3 BHK,Prvaska,1182,2,1,60.1
Super built-up  Area,Ready To Move,Avalahalli,2 BHK,PyonsCa,1053,2,1,46.29
Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,,750,1,1,105
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,2000,3,3,125
Built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1940,4,3,116
Super built-up  Area,18-Dec,Hennur Road,3 BHK,Shxorm ,1590,3,2,105
Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,,1035,2,2,52.79
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1075,2,2,53
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2,0,55
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Keave E,1260,2,1,62
Plot  Area,Ready To Move,Prashanth Nagar,6 Bedroom,,1200,5,0,260
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1702,3,2,107
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1080,2,2,65
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1189,2,1,45
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Mairer ,1035,2,1,39
Super built-up  Area,18-Aug,Hennur Road,2 BHK,DSeldpr,1200,2,1,36
Plot  Area,Ready To Move,Mahalakshmi Layout,8 Bedroom,,4482,6,2,852
Plot  Area,Ready To Move,Michael Palaya,3 Bedroom,,1200,3,0,200
Super built-up  Area,20-Oct,Kanakpura Road,3 BHK,PrarePa,1300,3,1,69
Super built-up  Area,19-Apr,Yelahanka,2 BHK,LedorSa,1330,2,1,93.65
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1210,2,1,65
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1350,2,2,54.2
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,SyOnen ,1900,2,2,65
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1935,4,2,125
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,BrlonAv,1410,3,3,90
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1469,2,2,99.14
Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,986,2,1,30
Super built-up  Area,Ready To Move,RBI Layout,3 BHK,Sasicha,1460,2,2,87
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2,2,85.05
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,2,2,39.5
Super built-up  Area,Ready To Move,Panathur,2 BHK,Isncasa,980,2,1,57
Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,Brlms P,1164,2,2,75
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,1,2,51
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,,1065,2,1,70
Super built-up  Area,20-Jun,Budigere,2 BHK,Brstaue,1150 - 1194,2,0,56.725
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,3000,3,1,265
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1020,2,1,30.27
Super built-up  Area,Ready To Move,Gunjur,3 BHK,DSerste,1362,3,1,62.63
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,672,1,1,36.85
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Stlomg ,1746,3,3,115
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2,1,29.6
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1532,2,1,65
Super built-up  Area,Ready To Move,Guni Agrahara,3 BHK,,1200,2,2,120
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,AlourAr,1250,2,2,65
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1188,2,1,39
Built-up  Area,19-Oct,Whitefield,4 Bedroom,NVaree ,3565,4,0,218
Super built-up  Area,19-Jan,Marathahalli,2 BHK,PrensKe,1170,2,2,85
Super built-up  Area,Ready To Move,BEL Road,3 BHK,,1800,3,2,150
Plot  Area,Ready To Move,Madavara,2 Bedroom,,1000,2,1,35
Plot  Area,Ready To Move,Cooke Town,3 Bedroom,,2600,3,1,375
Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,,1200,4,3,240
Super built-up  Area,Ready To Move,Kasturi Nagar,4 BHK,Radenta,2507,4,2,155
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,ARngsd ,1061,2,1,34
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1290,2,2,69
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1200,2,1,42.6
Super built-up  Area,18-May,Bharathi Nagar,2 BHK,,1120,2,2,39.29
Super built-up  Area,Ready To Move,Electronic City,1 BHK,,418,1,1,12
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Sondaka,1333,3,1,50
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3,2,119
Super built-up  Area,19-Dec,Thanisandra,1 BHK,Cotaror,684 - 810,1,0,34.355
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,1700,3,3,250
Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,2030,4,1,125
Super built-up  Area,18-Mar,Balagere,2 BHK,Soresea,1012,2,1,70
Carpet  Area,Ready To Move,Kudlu,3 BHK,,1245,2,1,60
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1765,3,2,118
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srtusi ,1110,2,2,36.25
Built-up  Area,Ready To Move,Akash Nagar,2 BHK,,967,2,1,47.8
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044,2,2,36
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Baentgi,1518,3,3,80
Super built-up  Area,Ready To Move,KR Puram,3 BHK,SLontel,1300,2,2,57
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,Sapazta,1798,3,3,73
Carpet  Area,Ready To Move,KR Puram,2 BHK,Jahidva,866.28,2,0,36.38
Super built-up  Area,18-Feb,Whitefield,4 BHK,BrlisCo,3410,5,3,253
Super built-up  Area,Ready To Move,Singasandra,2 BHK,EAvarum,1179,2,2,56
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,PhestOn,3600,5,,510
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125,2,1,48
Super built-up  Area,Ready To Move,Cambridge Layout,3 BHK,,2098,3,1,210
Super built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,,2400,3,1,270
Built-up  Area,Ready To Move,Haralur Road,3 BHK,,1976,3,2,92
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Niaveha,1190,2,2,61.8
Super built-up  Area,Ready To Move,cooketown,3 BHK,,1800,3,3,192
Super built-up  Area,19-Sep,Jakkur,3 BHK,Ceezey ,1761,3,1,84.52
Super built-up  Area,Ready To Move,Cooke Town,3 BHK,,1700,3,3,120
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,900,4,1,70
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,64.8
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,,2000,3,2,85
Built-up  Area,18-Dec,Electronic City,3 BHK,,1220,2,1,35.25
Super built-up  Area,19-Jan,Shauhardha Layout,1 BHK,Ardaseo,509,1,1,20
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1852,4,2,122
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1045,2,1,40.65
Super built-up  Area,Ready To Move,Kaverappa Layout,4 BHK,Varve R,3535,4,2,215
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1102,2,2,53.67
Super built-up  Area,Ready To Move,Omkar Nagar,4 BHK,Shinei ,1800,3,2,82
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,,1436,2,2,75
Super built-up  Area,Ready To Move,Chikkadunnasandra,3 BHK,Kr 10Ca,1397,2,,52
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1140,2,2,56
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,645,1,1,55
Plot  Area,Ready To Move,Bank Of Baroda Colony,5 Bedroom,,2350,5,,325
Plot  Area,18-May,Nagarbhavi,3 Bedroom,,1200,3,2,225
Carpet  Area,Ready To Move,Bhoopsandra,3 BHK,E onsg ,2050,3,2,135
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,1335,2,1,95
Plot  Area,Ready To Move,Thirumenahalli,2 Bedroom,,2100,1,1,200
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255,3,2,77.68
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1140,2,1,59
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2376,3,1,240
Super built-up  Area,19-Mar,Thanisandra,1 BHK,Bhe 2ko,663,1,1,46
Super built-up  Area,Ready To Move,Victoria Layout,2 BHK,,1276,2,0,146
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,60.9
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,,1400,3,3,66
Super built-up  Area,17-Oct,Divya Unnathi Layout,2 BHK,,1339,2,1,53.56
Built-up  Area,18-Dec,Electronic City,3 BHK,,1220,2,1,35.23
